seq,ts_ns,bid_px,bid_qty,ask_px,ask_qty,spread_ticks,mid_px
1000,251969679762,100.04,496,100.05,154,1,100.04
2000,251969981469,99.59,472,99.6,492,1,99.59
3000,251970296448,99.51,500,99.52,145,1,99.51
4000,251970588025,99.51,463,99.52,140,1,99.51
5000,251970872143,99.64,496,99.65,414,1,99.64
6000,251971149804,99.5,497,99.51,267,1,99.5
7000,251971427546,99.43,53,99.44,489,1,99.43
8000,251971727511,99.61,440,99.62,499,1,99.61
9000,251972013553,99.5,493,99.51,139,1,99.5
10000,251972225079,99.66,288,99.67,487,1,99.66
11000,251972435834,99.63,500,99.64,252,1,99.63
12000,251972648288,99.63,500,99.64,252,1,99.63
13000,251972866425,99.63,500,99.64,252,1,99.63
14000,251973073893,99.63,500,99.64,252,1,99.63
15000,251973288710,99.63,500,99.64,252,1,99.63
16000,251973507953,99.63,500,99.64,252,1,99.63
17000,251973734362,99.63,500,99.64,252,1,99.63
18000,251973954464,99.63,500,99.64,252,1,99.63
19000,251974170090,99.63,500,99.64,252,1,99.63
20000,251974378699,99.63,500,99.64,252,1,99.63
