seq,feed_to_engine_ns,decision_ns,total_ns
1,198581,43,3483
2,195906,28,460
3,196348,26,795
4,197157,27,175
5,197360,107,450
6,197731,36,148
7,197897,28,192
8,198043,28,132
9,198206,28,172
10,198421,28,162
11,198710,28,154
12,198904,28,106
13,199162,29,193
14,199388,27,105
15,199528,29,92
16,199673,26,163
17,199971,27,107
18,200231,28,172
19,200449,26,226
20,200647,26,112
21,200896,27,138
22,201079,27,167
23,201380,27,177
24,201594,27,163
25,201807,28,1946
26,203791,28,127
27,204058,28,124
28,204226,28,193
29,204466,27,111
30,204733,29,130
31,204915,28,115
32,205178,28,115
33,205356,28,100
34,205502,28,105
35,205659,28,111
36,205917,28,115
37,206079,28,96
38,206334,27,172
39,206477,28,110
40,206719,27,187
41,207043,29,181
42,207274,27,111
43,207354,28,208
44,207612,27,94
45,207773,27,81
46,207897,28,165
47,208115,28,1085
48,209243,28,125
49,209500,27,223
50,209774,30,156
51,210064,28,121
52,210333,28,120
53,210500,28,132
54,210808,27,153
55,211012,27,102
56,211265,28,103
57,211414,27,153
58,211704,28,331
59,212080,27,179
60,212310,27,157
61,212528,27,108
62,212788,28,202
63,212726,28,159
64,213016,27,124
65,213172,27,121
66,213429,27,194
67,213736,28,337
68,214116,1215,20066
69,234240,60,166
70,234452,45,181
71,234695,44,158
72,234989,28,105
73,235244,32,107
74,235412,36,129
75,235695,27,114
76,235852,27,110
77,236015,28,121
78,236179,28,99
79,236321,28,111
80,236486,27,109
81,236647,35,117
82,236902,29,103
83,237050,28,131
84,237304,28,95
85,237530,31,141
86,237729,28,134
87,238012,29,215
88,238280,27,95
89,238535,28,119
90,238713,28,129
91,239002,28,118
92,239173,30,97
93,239313,29,118
94,239479,27,113
95,239738,27,112
96,239904,28,118
97,240062,28,103
98,240315,28,105
99,240481,27,103
100,240745,29,121
101,240909,27,119
102,241185,29,109
103,241353,30,324
104,241724,27,108
105,241803,28,105
106,241959,28,107
107,242108,29,101
108,242250,32,150
109,242455,29,195
110,242710,27,113
111,242973,28,108
112,243126,28,107
113,243389,28,134
114,243673,28,130
115,243941,29,115
116,244104,30,115
117,244383,28,92
118,244647,42,107
119,244941,36,130
120,245206,37,117
121,245492,36,105
122,245650,30,109
123,245906,30,108
124,246060,31,101
125,246204,33,175
126,246108,31,117
127,246374,31,112
128,246674,32,117
129,249575,33,120
130,249848,31,89
131,249906,31,108
132,249936,158,237
133,250216,31,107
134,250383,32,119
135,250444,31,106
136,250453,32,105
137,250488,32,110
138,250628,36,115
139,250773,38,116
140,250932,32,114
141,251085,32,104
142,251234,32,97
143,251388,32,186
144,251624,32,99
145,251888,32,193
146,252137,32,108
147,252399,32,99
148,252633,31,112
149,252793,31,106
150,252943,31,113
151,253099,31,825
152,253977,32,108
153,254245,32,107
154,254393,33,113
155,254556,32,112
156,254714,30,103
157,254867,32,101
158,255026,31,106
159,255275,32,111
160,255539,32,113
161,255694,30,105
162,255843,31,113
163,255998,32,103
164,256151,32,100
165,256385,31,99
166,256659,33,135
167,256921,31,118
168,257083,32,106
169,257236,33,107
170,257384,31,103
171,257554,31,108
172,257817,32,105
173,258076,32,108
174,258221,31,115
175,258376,33,114
176,258537,31,98
177,258606,31,122
178,258789,33,138
179,259063,32,127
180,259236,30,100
181,259383,30,118
182,259554,31,122
183,259722,32,98
184,259866,31,104
185,260019,32,133
186,260278,33,100
187,260547,33,115
188,260517,32,112
189,260680,31,100
190,260934,31,111
191,261198,30,113
192,261359,32,114
193,261593,32,157
194,261708,32,100
195,261760,32,102
196,261902,84,179
197,262120,32,113
198,262291,31,119
199,262445,31,109
200,262601,31,126
201,262851,33,97
202,262868,39,143
203,262941,31,111
204,263071,32,128
205,263248,32,87
206,263384,31,100
207,263539,32,110
208,263788,32,119
209,263956,32,115
210,264109,32,112
211,264263,33,113
212,264418,31,168
213,264637,33,129
214,264891,31,106
215,265038,31,172
216,265262,30,136
217,265534,33,122
218,265706,31,132
219,265978,31,176
220,266223,32,106
221,266480,30,121
222,266657,32,119
223,266920,31,164
224,267144,32,98
225,267390,32,118
226,267558,32,128
227,267731,33,127
228,267902,31,114
229,268061,31,125
230,268232,30,105
231,268387,31,140
232,268571,31,96
233,268715,32,109
234,268871,31,117
235,269128,33,113
236,269392,30,123
237,269565,32,119
238,269655,30,128
239,269939,32,104
240,270194,31,96
241,270332,31,114
242,270493,31,106
243,270750,31,175
244,271053,33,119
245,271282,32,118
246,271544,32,122
247,271715,31,99
248,271861,31,107
249,272023,32,117
250,272282,31,163
251,272274,32,99
252,272535,32,125
253,272701,31,123
254,272870,31,115
255,273033,32,114
256,273198,31,155
257,275279,30,253
258,275471,33,171
259,275673,33,119
260,275797,62,131
261,275862,31,99
262,276042,32,100
263,276303,31,126
264,276476,31,117
265,276526,30,109
266,276577,31,137
267,276653,31,165
268,276868,32,116
269,277131,31,115
270,277294,31,114
271,277565,30,113
272,277839,32,176
273,278150,31,123
274,278405,31,168
275,278616,31,113
276,278769,31,127
277,278946,140,2815
278,281806,43,297
279,282149,30,211
280,282405,27,112
281,282569,31,148
282,282890,29,126
283,283168,33,111
284,283435,32,111
285,283738,38,214
286,283995,31,98
287,321268,33,145
288,321458,30,256
289,321760,27,132
290,321937,28,128
291,322111,27,116
292,322275,29,157
293,322491,27,113
294,322746,30,116
295,322913,29,115
296,323176,27,96
297,323324,27,105
298,323593,27,100
299,323739,29,85
300,323792,31,285
301,324122,27,105
302,324378,28,141
303,324561,27,94
304,324817,28,93
305,325036,28,139
306,325219,28,107
307,325476,28,124
308,325640,31,269
309,325956,28,114
310,326223,27,91
311,326286,28,114
312,326468,32,233
313,326445,28,119
314,326613,27,107
315,326780,28,126
316,326950,29,113
317,327107,28,100
318,327257,28,108
319,327408,28,108
320,327561,28,107
321,327822,28,121
322,327865,29,119
323,328000,27,98
324,328052,155,242
325,328239,34,119
326,328395,31,122
327,328443,40,123
328,328727,33,132
329,328803,32,100
330,329052,32,99
331,329185,32,115
332,329304,32,101
333,329560,32,115
334,329721,31,106
335,329988,32,114
336,330147,33,114
337,330404,31,129
338,330571,32,121
339,330736,32,114
340,330897,32,125
341,331071,32,116
342,331227,32,98
343,331374,32,119
344,331542,32,118
345,331800,31,125
346,331968,33,125
347,332224,32,109
348,332380,33,116
349,332641,31,98
350,332788,33,114
351,332956,32,168
352,333179,31,345
353,333570,32,117
354,333851,33,99
355,334116,32,120
356,334278,31,131
357,334588,32,98
358,334749,31,117
359,335006,33,115
360,335175,33,106
361,335326,33,121
362,335498,31,103
363,335571,33,99
364,335637,32,97
365,335773,31,203
366,336022,31,111
367,336177,31,167
368,336403,31,109
369,336657,31,103
370,336818,31,123
371,337072,30,104
372,337225,31,128
373,337508,31,97
374,337735,31,116
375,337711,31,116
376,337873,32,107
377,338133,32,136
378,338318,32,133
379,338633,33,112
380,338801,32,99
381,338945,32,96
382,339090,33,109
383,339260,33,116
384,339533,32,99
385,342172,39,179
386,343805,35,206
387,344052,41,134
388,344285,155,260
389,344592,48,143
390,344775,39,148
391,344986,34,132
392,345264,35,153
393,345562,34,266
394,345881,33,139
395,346165,40,154
396,346370,47,149
397,346668,32,115
398,346932,35,145
399,347229,37,142
400,347422,35,147
401,347713,41,166
402,347936,31,141
403,348214,39,144
404,348329,35,129
405,348610,34,310
406,348968,43,137
407,349241,44,129
408,349433,39,128
409,349680,35,131
410,349951,32,110
411,350213,33,123
412,350380,33,152
413,350604,38,137
414,350801,39,148
415,351095,42,191
416,351348,41,169
417,351655,37,146
418,351854,33,157
419,352078,40,150
420,352374,36,139
421,352566,40,146
422,352851,38,263
423,353166,41,126
424,353335,34,116
425,353501,32,125
426,353674,32,122
427,353850,39,119
428,354011,40,219
429,354281,41,154
430,354582,33,124
431,354755,40,122
432,355032,37,131
433,355306,34,161
434,355523,44,144
435,355829,37,227
436,356109,33,117
437,356198,34,142
438,356203,32,124
439,356475,37,171
440,356700,31,97
441,356966,33,101
442,357233,37,138
443,357421,35,168
444,357731,40,135
445,357930,39,183
446,358169,33,102
447,358242,33,168
448,358559,33,132
449,358736,35,140
450,359024,33,108
451,359053,40,131
452,359234,84,336
