order_id,md_seq,exchange_ts_ns,symbol,side,qty,fill_price,cash_after,position_after,pnl_after
1,68,251969339803,SIM,BUY,25,99.95,-2498.75,25,-0.25
2,277,251969420081,SIM,SELL,25,100.06,2.75,0,2.75
3,482,251969520819,SIM,SELL,25,100.12,2505.75,-25,2.75
4,690,251969582125,SIM,BUY,25,100.06,4.25,0,4.25
5,1068,251969704024,SIM,BUY,25,99.8,-2490.75,25,4
6,1118,251969719671,SIM,BUY,25,99.75,-4984.5,50,2.5
7,1320,251969782444,SIM,BUY,25,99.69,-7476.75,75,-0.75
8,1603,251969864469,SIM,BUY,25,99.64,-9967.75,100,-4.75
9,1727,251969902247,SIM,SELL,25,99.61,-7477.5,75,-3.75
10,1823,251969931379,SIM,BUY,25,99.65,-9968.75,100,-4.75
11,1873,251969945621,SIM,BUY,25,99.6,-12458.8,125,-10
12,2186,251970036177,SIM,SELL,25,99.67,-9967,100,1.7053e-13
13,2236,251970050431,SIM,SELL,25,99.71,-7474.25,75,4
14,2286,251970068681,SIM,SELL,25,99.79,-4979.5,50,10
15,2693,251970205858,SIM,BUY,25,99.57,-7468.75,75,-1.75
16,2743,251970221755,SIM,BUY,25,99.52,-9956.75,100,-5.75
17,3539,251970446751,SIM,SELL,25,99.56,-7467.75,75,-0.75
18,3589,251970464128,SIM,SELL,25,99.59,-4978,50,1.5
19,3757,251970511239,SIM,BUY,25,99.51,-7465.75,75,-3.25
20,3994,251970585051,SIM,SELL,25,99.51,-4978,50,-2.5
21,4066,251970606375,SIM,SELL,25,99.58,-2488.5,25,1
22,4366,251970691408,SIM,SELL,25,99.65,2.75,0,2.75
23,4522,251970735318,SIM,SELL,25,99.68,2494.75,-25,2.75
24,4629,251970767658,SIM,BUY,25,99.66,3.25,0,3.25
25,5314,251970958808,SIM,BUY,25,99.63,-2487.5,25,3
26,5364,251970973981,SIM,BUY,25,99.51,-4975.25,50,-0.25
27,6027,251971159629,SIM,BUY,25,99.48,-7462.25,75,-2.75
28,6077,251971174017,SIM,BUY,25,99.41,-9947.5,100,-7.5
29,6416,251971267123,SIM,BUY,25,99.39,-12432.2,125,-9.75
30,6485,251971286672,SIM,SELL,25,99.43,-9946.5,100,-3.5
31,7034,251971440335,SIM,SELL,25,99.66,-7455,75,19.5
32,7084,251971457289,SIM,SELL,25,99.66,-4963.5,50,19.5
33,7170,251971482007,SIM,SELL,25,99.72,-2470.5,25,22.5
34,7229,251971501076,SIM,BUY,25,99.68,-4962.5,50,21
35,7440,251971563835,SIM,BUY,25,99.62,-7453,75,17.75
36,8119,251971762558,SIM,BUY,25,99.58,-9942.5,100,14.5
37,8774,251971943743,SIM,SELL,25,99.55,-7453.75,75,14.75
38,8842,251971965001,SIM,SELL,25,99.63,-4963,50,18.5
39,8916,251971985460,SIM,BUY,25,99.58,-7452.5,75,15.25
40,8966,251972001450,SIM,BUY,25,99.56,-9941.5,100,11.5
41,9179,251972047845,SIM,SELL,25,99.55,-7452.75,75,13.5
42,9305,251972073276,SIM,SELL,25,99.61,-4962.5,50,18
43,9408,251972095062,SIM,SELL,25,99.65,-2471.25,25,20
44,9458,251972105917,SIM,SELL,25,99.7,21.25,0,21.25
45,9546,251972125264,SIM,SELL,25,99.8,2516.25,-25,21.25
46,9675,251972151964,SIM,BUY,25,99.77,22,0,22
47,9875,251972196929,SIM,BUY,25,99.69,-2470.25,25,21.75
48,10106,251972249024,SIM,SELL,25,99.67,21.5,0,21.5
49,10199,251972272290,SIM,BUY,25,99.65,-2469.75,25,21.25
